STORED: PID=42, Name=p42, CurrentInstruction=5, Instructions=1698, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=49, Name=p49, CurrentInstruction=0, Instructions=1941, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=8, Name=p8, CurrentInstruction=15, Instructions=1270, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=2, Name=p2, CurrentInstruction=15, Instructions=1866, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=43, Name=p43, CurrentInstruction=5, Instructions=1943, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=50, Name=p50, CurrentInstruction=0, Instructions=1216, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=44, Name=p44, CurrentInstruction=5, Instructions=1662, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=20, Name=p20, CurrentInstruction=5, Instructions=1492, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=19, Name=p19, CurrentInstruction=10, Instructions=1457, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=51, Name=p51, CurrentInstruction=0, Instructions=1778, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=45, Name=p45, CurrentInstruction=5, Instructions=1479, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=21, Name=p21, CurrentInstruction=5, Instructions=1882, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=2, Name=p2, CurrentInstruction=20, Instructions=1866, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=52, Name=p52, CurrentInstruction=0, Instructions=1574, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=46, Name=p46, CurrentInstruction=5, Instructions=1193, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=9, Name=p9, CurrentInstruction=10, Instructions=1499, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=20, Name=p20, CurrentInstruction=10, Instructions=1492, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=53, Name=p53, CurrentInstruction=0, Instructions=1414, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=47, Name=p47, CurrentInstruction=5, Instructions=1414, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=22, Name=p22, CurrentInstruction=5, Instructions=1187, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=21, Name=p21, CurrentInstruction=10, Instructions=1882, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=54, Name=p54, CurrentInstruction=0, Instructions=1491, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=48, Name=p48, CurrentInstruction=5, Instructions=1568, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=23, Name=p23, CurrentInstruction=5, Instructions=1022, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=9, Name=p9, CurrentInstruction=15, Instructions=1499, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=55, Name=p55, CurrentInstruction=0, Instructions=1251, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=49, Name=p49, CurrentInstruction=5, Instructions=1941, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=56, Name=p56, CurrentInstruction=0, Instructions=1243, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=22, Name=p22, CurrentInstruction=10, Instructions=1187, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=3, Name=p3, CurrentInstruction=15, Instructions=1961, Size=512, Pages=8, Time=2025-08-03 18:19:05
STORED: PID=50, Name=p50, CurrentInstruction=5, Instructions=1216, Size=512, Pages=8, Time=2025-08-03 18:19:05
LOADED: PID=57, Name=p57, CurrentInstruction=0, Instructions=1059, Size=512, Pages=8, Time=2025-08-03 18:19:05
